,SibSp,Parch,Fare,passenger_class,isFemale,passenger_survived
34,0.125,0.0,0.16038672010106003,1.0,0,0
348,0.125,0.2,0.031034733136428686,0.0,0,1
163,0.0,0.0,0.016908073949327893,0.0,0,0
159,1.0,0.4,0.13575255909676825,0.0,0,0
287,0.0,0.0,0.015411575213749286,0.0,0,0
183,0.25,0.2,0.07612293033463641,0.5,0,1
369,0.0,0.0,0.13526459159462315,1.0,1,1
597,0.0,0.0,0.0,0.0,0,0
21,0.0,0.0,0.025374310111545468,0.5,0,1
706,0.0,0.0,0.026350245115835676,0.5,1,1
387,0.0,0.0,0.025374310111545468,0.5,1,1
283,0.0,0.0,0.015712553569072387,0.0,0,1
760,0.0,0.0,0.028302115124416098,0.0,0,0
770,0.0,0.0,0.018542765081513996,0.0,0,0
762,0.0,0.0,0.014110458666029575,0.0,0,1
160,0.0,0.2,0.031425107138144774,0.0,0,0
343,0.0,0.0,0.025374310111545468,0.5,0,0
120,0.25,0.0,0.1434624456306609,0.5,0,0
314,0.125,0.2,0.05123658772523604,0.5,0,0
127,0.0,0.0,0.01393967004027879,0.0,0,1
834,0.0,0.0,0.016200521071217493,0.0,0,0
672,0.0,0.0,0.020494635090094415,0.5,0,0
80,0.0,0.0,0.017566830077223785,0.0,0,0
691,0.0,0.2,0.026187654344120927,0.0,1,1
415,0.0,0.0,0.015712553569072387,0.0,1,0
654,0.0,0.0,0.013175122557917838,0.0,1,0
446,0.0,0.2,0.038061465167318204,0.5,1,1
192,0.125,0.0,0.015330377421392339,0.0,1,1
22,0.0,0.0,0.015671954672893913,0.0,1,1
181,0.0,0.0,0.02937564362913533,0.5,0,0
586,0.0,0.0,0.02927805012870631,0.5,0,0
492,0.0,0.0,0.05953203526170282,1.0,0,0
656,0.0,0.0,0.015411575213749286,0.0,0,0
122,0.125,0.0,0.058694292654020104,0.5,0,0
682,0.0,0.0,0.01800600082915438,0.0,0,0
874,0.125,0.0,0.04684488020593009,0.5,1,1
704,0.125,0.0,0.015330377421392339,0.0,0,0
212,0.0,0.0,0.014151057562208049,0.0,0,0
66,0.0,0.0,0.020494635090094415,0.5,1,1
508,0.0,0.0,0.04396587194327397,0.0,0,0
190,0.0,0.0,0.025374310111545468,0.5,1,1
84,0.0,0.0,0.020494635090094415,0.5,1,1
242,0.0,0.0,0.020494635090094415,0.5,0,0
155,0.0,0.2,0.11980421963065935,1.0,0,0
331,0.0,0.0,0.055628295244541985,1.0,0,0
785,0.0,0.0,0.014151057562208049,0.0,0,0
751,0.0,0.2,0.024349578357040744,0.0,0,1
828,0.0,0.0,0.015126992566498259,0.0,0,1
101,0.0,0.0,0.015411575213749286,0.0,0,0
228,0.0,0.0,0.025374310111545468,0.5,0,0
505,0.125,0.0,0.2125586439344078,1.0,0,0
718,0.0,0.0,0.030253985132996517,0.0,0,0
836,0.0,0.0,0.016908073949327893,0.0,0,0
879,0.0,0.2,0.16231419173453318,1.0,1,1
517,0.0,0.0,0.04713766070721715,0.0,0,0
94,0.0,0.0,0.014151057562208049,0.0,0,0
667,0.0,0.0,0.015175789316712771,0.0,0,0
679,0.0,0.2,1.0,1.0,0,1
605,0.125,0.0,0.030351578633425542,0.0,0,0
245,0.25,0.0,0.17566830077223786,1.0,0,0
332,0.0,0.2,0.2995388511917728,1.0,0,0
396,0.0,0.0,0.015330377421392339,0.0,1,0
729,0.125,0.0,0.015468569817999833,0.0,1,0
867,0.0,0.0,0.09856123757927521,1.0,0,0
845,0.0,0.0,0.014736618564782174,0.0,0,0
289,0.0,0.0,0.015126992566498259,0.0,1,1
142,0.125,0.0,0.030937139635999665,0.0,1,1
476,0.125,0.0,0.04098927018018883,0.5,0,0
376,0.0,0.0,0.014151057562208049,0.0,1,1
684,0.125,0.2,0.07612293033463641,0.5,0,0
292,0.0,0.0,0.025130326360472913,0.5,0,0
45,0.0,0.0,0.015712553569072387,0.0,0,0
430,0.0,0.0,0.051822148727810165,1.0,0,1
384,0.0,0.0,0.015411575213749286,0.0,0,0
623,0.0,0.0,0.015330377421392339,0.0,0,0
461,0.0,0.0,0.015712553569072387,0.0,0,0
485,0.375,0.2,0.049707687947515,0.0,1,0
26,0.0,0.0,0.014102260811993537,0.0,0,0
362,0.0,0.2,0.028212719478023115,0.0,1,0
268,0.0,0.2,0.2995388511917728,1.0,1,1
63,0.375,0.4,0.05445717323939373,0.0,0,0
664,0.125,0.0,0.015468569817999833,0.0,0,1
793,0.0,0.0,0.05991421140938287,1.0,0,0
866,0.125,0.0,0.027049600139910042,0.5,1,1
33,0.0,0.0,0.020494635090094415,0.5,0,0
462,0.0,0.0,0.07514699533034619,1.0,0,0
747,0.0,0.0,0.025374310111545468,0.5,1,1
429,0.0,0.0,0.015712553569072387,0.0,0,1
118,0.0,0.2,0.4831284260198326,1.0,0,0
15,0.0,0.0,0.03122992013728673,0.5,1,1
716,0.0,0.0,0.4440992237022602,1.0,1,1
42,0.0,0.0,0.015411575213749286,0.0,0,0
478,0.0,0.0,0.014679623960531627,0.0,0,0
174,0.0,0.0,0.05991421140938287,1.0,0,0
392,0.25,0.0,0.015468569817999833,0.0,0,0
499,0.0,0.0,0.015216388212891242,0.0,0,0
657,0.125,0.2,0.030253985132996517,0.0,1,0
93,0.125,0.4,0.04015972542654215,0.0,0,0
449,0.0,0.0,0.05953203526170282,1.0,0,1
426,0.125,0.0,0.050748620223090936,0.5,1,1
556,0.125,0.0,0.07729405233978466,1.0,1,1
607,0.0,0.0,0.05953203526170282,1.0,0,1
153,0.0,0.4,0.028302115124416098,0.0,0,0
116,0.0,0.0,0.015126992566498259,0.0,0,0
594,0.125,0.0,0.050748620223090936,0.5,0,0
881,0.0,0.0,0.015411575213749286,0.0,0,0
750,0.125,0.2,0.044893010197349675,0.5,1,1
756,0.0,0.0,0.015216388212891242,0.0,0,0
18,0.125,0.0,0.03513366015444757,0.0,1,0
23,0.0,0.0,0.06929138530460494,1.0,0,1
276,0.0,0.0,0.015126992566498259,0.0,1,0
30,0.0,0.0,0.05410739813385612,1.0,0,0
648,0.0,0.0,0.014736618564782174,0.0,0,0
0,0.125,0.0,0.014151057562208049,0.0,0,0
72,0.0,0.0,0.1434624456306609,0.5,0,0
803,0.0,0.2,0.016623491302076868,0.0,0,1
468,0.0,0.0,0.015078195816283748,0.0,0,0
427,0.0,0.0,0.050748620223090936,0.5,1,1
534,0.0,0.0,0.016908073949327893,0.0,1,0
115,0.0,0.0,0.015468569817999833,0.0,0,0
309,0.0,0.0,0.11111839809247648,1.0,1,1
487,0.0,0.0,0.057970539254838485,1.0,0,0
625,0.0,0.0,0.06308600017332605,1.0,0,0
603,0.0,0.0,0.015712553569072387,0.0,0,0
500,0.0,0.0,0.016908073949327893,0.0,0,0
38,0.25,0.0,0.03513366015444757,0.0,1,0
24,0.375,0.2,0.04113566043083236,0.0,1,0
883,0.0,0.0,0.020494635090094415,0.5,0,0
326,0.0,0.0,0.012174789178520372,0.0,0,0
199,0.0,0.0,0.025374310111545468,0.5,1,0
205,0.0,0.2,0.02042143996477265,0.0,1,0
320,0.0,0.0,0.014151057562208049,0.0,0,0
431,0.125,0.0,0.031425107138144774,0.0,1,1
741,0.125,0.0,0.15390495017656614,1.0,0,0
437,0.25,0.6000000000000001,0.03659756266088288,0.5,1,1
553,0.0,0.0,0.014102260811993537,0.0,0,1
825,0.0,0.0,0.013565496559633922,0.0,0,0
311,0.25,0.4,0.5121218935012878,1.0,1,1
258,0.0,0.0,1.0,1.0,1,1
863,1.0,0.4,0.13575255909676825,0.0,1,0
456,0.0,0.0,0.051822148727810165,1.0,0,0
264,0.0,0.0,0.015126992566498259,0.0,1,0
746,0.125,0.2,0.03952536767375352,0.0,0,0
719,0.0,0.0,0.015175789316712771,0.0,0,0
669,0.125,0.0,0.10149724044618187,1.0,1,1
308,0.125,0.0,0.04684488020593009,0.5,0,0
295,0.0,0.0,0.05410739813385612,1.0,0,0
563,0.0,0.0,0.015712553569072387,0.0,0,0
379,0.0,0.0,0.015175789316712771,0.0,0,0
542,0.5,0.4,0.06104473451835265,0.0,1,0
282,0.0,0.0,0.018542765081513996,0.0,0,0
779,0.0,0.2,0.41250332793836464,1.0,1,1
148,0.0,0.4,0.050748620223090936,0.5,0,0
378,0.0,0.0,0.007831878409428937,0.0,0,0
561,0.0,0.0,0.015411575213749286,0.0,0,0
859,0.0,0.0,0.014110458666029575,0.0,0,0
105,0.0,0.0,0.015411575213749286,0.0,0,0
71,0.625,0.4,0.09154270340242172,0.0,1,0
114,0.0,0.0,0.028220722145058292,0.0,1,0
234,0.0,0.0,0.020494635090094415,0.5,0,0
347,0.125,0.0,0.031425107138144774,0.0,1,1
830,0.125,0.0,0.028212719478023115,0.0,1,1
697,0.0,0.0,0.015094396337354966,0.0,1,1
792,1.0,0.4,0.13575255909676825,0.0,1,0
610,0.125,1.0,0.06104473451835265,0.0,1,0
402,0.125,0.0,0.019177122834302632,0.0,1,0
701,0.0,0.0,0.05130978285055781,1.0,0,1
541,0.5,0.4,0.06104473451835265,0.0,1,0
49,0.125,0.0,0.034743286152731485,0.0,1,0
243,0.0,0.0,0.013907073811135496,0.0,0,0
643,0.0,0.0,0.11027245763075773,0.0,0,1
302,0.0,0.0,0.0,0.0,0,0
278,0.5,0.2,0.05684821399990475,0.0,0,0
179,0.0,0.0,0.0,0.0,0,0
201,1.0,0.4,0.13575255909676825,0.0,0,0
157,0.0,0.0,0.015712553569072387,0.0,0,0
571,0.25,0.0,0.10048070654571319,1.0,1,1
794,0.0,0.0,0.015411575213749286,0.0,0,0
838,0.0,0.0,0.11027245763075773,0.0,0,1
231,0.0,0.0,0.015175789316712771,0.0,0,0
619,0.0,0.0,0.020494635090094415,0.5,0,0
450,0.125,0.4,0.05416439273810667,0.5,0,0
808,0.0,0.0,0.025374310111545468,0.5,0,0
711,0.0,0.0,0.051822148727810165,1.0,0,0
518,0.125,0.0,0.050748620223090936,0.5,1,1
708,0.0,0.0,0.29580589980036276,1.0,1,1
789,0.0,0.0,0.15458810467956932,1.0,0,0
453,0.125,0.0,0.17391981561855152,1.0,0,1
298,0.0,0.0,0.05953203526170282,1.0,0,1
730,0.0,0.0,0.41250332793836464,1.0,1,1
538,0.0,0.0,0.028302115124416098,0.0,0,0
297,0.125,0.4,0.29580589980036276,1.0,1,0
352,0.125,0.2,0.014110458666029575,0.0,0,0
32,0.0,0.0,0.015126992566498259,0.0,1,1
545,0.0,0.0,0.050748620223090936,1.0,0,0
386,0.625,0.4,0.09154270340242172,0.0,0,0
204,0.0,0.0,0.015712553569072387,0.0,0,1
125,0.125,0.0,0.021942337075458514,0.0,0,1
175,0.125,0.2,0.015330377421392339,0.0,0,0
655,0.25,0.0,0.1434624456306609,0.5,0,0
598,0.0,0.0,0.014102260811993537,0.0,0,0
235,0.0,0.0,0.014736618564782174,0.0,1,0
110,0.0,0.0,0.10149724044618187,1.0,0,0
479,0.0,0.2,0.023983602730431916,0.0,1,1
95,0.0,0.0,0.015712553569072387,0.0,0,0
528,0.0,0.0,0.015468569817999833,0.0,0,0
778,0.0,0.0,0.015102594191391004,0.0,0,0
20,0.0,0.0,0.050748620223090936,0.5,0,0
763,0.125,0.4,0.23422440102965048,1.0,1,1
878,0.0,0.0,0.015411575213749286,0.0,0,0
28,0.0,0.0,0.01537917417160685,0.0,1,1
444,0.0,0.0,0.015834545444608664,0.0,0,1
277,0.0,0.0,0.0,0.5,0,0
734,0.0,0.0,0.025374310111545468,0.5,0,0
284,0.0,0.0,0.050748620223090936,1.0,0,0
618,0.25,0.2,0.07612293033463641,0.5,1,1
256,0.0,0.0,0.15458810467956932,1.0,1,1
184,0.0,0.4,0.04298993693898376,0.0,1,1
398,0.0,0.0,0.020494635090094415,0.5,0,0
876,0.0,0.0,0.019217721730481106,0.0,0,0
211,0.0,0.0,0.04098927018018883,0.5,1,1
581,0.125,0.2,0.21642978772242535,1.0,1,1
89,0.0,0.0,0.015712553569072387,0.0,0,0
404,0.0,0.0,0.016908073949327893,0.0,1,0
191,0.0,0.0,0.025374310111545468,0.5,0,0
558,0.125,0.2,0.1554664461834305,1.0,1,1
593,0.0,0.4,0.015126992566498259,0.0,1,0
724,0.125,0.0,0.10364429745562033,1.0,0,1
474,0.0,0.0,0.019201521209409888,0.0,1,0
771,0.0,0.0,0.015330377421392339,0.0,0,0
698,0.125,0.2,0.21642978772242535,1.0,0,0
27,0.375,0.4,0.5133418122566507,1.0,0,0
223,0.0,0.0,0.015411575213749286,0.0,0,0
216,0.0,0.0,0.015468569817999833,0.0,1,1
248,0.125,0.2,0.10257896680493714,1.0,0,1
189,0.0,0.0,0.015411575213749286,0.0,0,0
391,0.0,0.0,0.015216388212891242,0.0,0,1
70,0.0,0.0,0.020494635090094415,0.5,0,0
578,0.125,0.0,0.028220722145058292,0.0,1,0
533,0.0,0.4,0.04364049521284362,0.0,1,1
870,0.0,0.0,0.015411575213749286,0.0,0,0
613,0.0,0.0,0.015126992566498259,0.0,0,0
844,0.0,0.0,0.016908073949327893,0.0,0,0
219,0.0,0.0,0.020494635090094415,0.5,0,0
233,0.5,0.4,0.06126431989431795,0.0,1,1
414,0.0,0.0,0.015468569817999833,0.0,0,1
288,0.0,0.0,0.025374310111545468,0.5,0,1
743,0.125,0.0,0.031425107138144774,0.0,0,0
626,0.0,0.0,0.024105594605968193,0.5,0,0
366,0.125,0.0,0.14687821814567664,1.0,1,1
514,0.0,0.0,0.014630827210317117,0.0,0,0
564,0.0,0.0,0.015712553569072387,0.0,1,0
554,0.0,0.0,0.015175789316712771,0.0,1,1
739,0.0,0.0,0.015411575213749286,0.0,0,0
710,0.0,0.0,0.09662576327876685,1.0,1,1
333,0.25,0.0,0.03513366015444757,0.0,0,0
624,0.0,0.0,0.031425107138144774,0.0,0,0
104,0.25,0.0,0.015468569817999833,0.0,0,0
128,0.125,0.2,0.04364049521284362,0.0,1,1
685,0.125,0.4,0.08115719346076702,0.5,0,0
871,0.125,0.2,0.10257896680493714,1.0,1,1
241,0.125,0.0,0.030253985132996517,0.0,1,1
6,0.0,0.0,0.10122885832000206,1.0,0,0
585,0.0,0.4,0.1554664461834305,1.0,1,1
403,0.125,0.0,0.030937139635999665,0.0,0,0
733,0.0,0.0,0.025374310111545468,0.5,0,0
549,0.125,0.2,0.07173122281533045,0.5,0,1
589,0.0,0.0,0.015712553569072387,0.0,0,0
590,0.0,0.0,0.013907073811135496,0.0,0,0
61,0.0,0.0,0.15614960068643363,1.0,1,1
526,0.0,0.0,0.020494635090094415,0.5,1,1
445,0.0,0.4,0.15977676072337862,1.0,0,1
62,0.125,0.0,0.16293234896625058,1.0,0,0
37,0.0,0.0,0.015712553569072387,0.0,0,0
744,0.0,0.0,0.015468569817999833,0.0,0,1
629,0.0,0.0,0.015094396337354966,0.0,0,0
165,0.0,0.4,0.04006213192611313,0.0,0,1
650,0.0,0.0,0.015411575213749286,0.0,0,0
833,0.0,0.0,0.015330377421392339,0.0,0,0
550,0.0,0.4,0.21642978772242535,1.0,0,1
696,0.0,0.0,0.015712553569072387,0.0,0,0
400,0.0,0.0,0.015468569817999833,0.0,0,1
781,0.125,0.0,0.11125659048908397,1.0,1,1
12,0.0,0.0,0.015712553569072387,0.0,0,0
835,0.125,0.2,0.16231419173453318,1.0,1,1
687,0.0,0.0,0.019852079483269742,0.0,0,0
439,0.0,0.0,0.020494635090094415,0.5,0,0
286,0.0,0.0,0.018542765081513996,0.0,0,1
144,0.0,0.0,0.022446505098674838,0.5,0,0
639,0.125,0.0,0.031425107138144774,0.0,0,0
413,0.0,0.0,0.0,0.5,0,0
692,0.0,0.0,0.11027245763075773,0.0,0,1
674,0.0,0.0,0.0,0.5,0,0
477,0.125,0.0,0.013752485706455927,0.0,0,0
25,0.125,1.0,0.06126431989431795,0.0,1,1
81,0.0,0.0,0.018542765081513996,0.0,0,1
361,0.125,0.0,0.05410739813385612,0.5,0,0
133,0.125,0.0,0.050748620223090936,0.5,1,1
1,0.125,0.0,0.13913573538264068,1.0,1,1
663,0.0,0.0,0.014630827210317117,0.0,0,0
19,0.0,0.0,0.014102260811993537,0.0,1,1
29,0.0,0.0,0.015411575213749286,0.0,0,0
334,0.125,0.0,0.2608674266467732,1.0,1,1
501,0.0,0.0,0.015126992566498259,0.0,1,0
856,0.125,0.2,0.32179836714362564,1.0,1,1
583,0.0,0.0,0.07831878409428937,1.0,0,0
350,0.0,0.0,0.01800600082915438,0.0,0,0
83,0.0,0.0,0.09193307740413781,1.0,0,0
495,0.0,0.0,0.028220722145058292,0.0,0,0
330,0.25,0.0,0.04538097769949478,0.0,1,1
53,0.125,0.0,0.050748620223090936,0.5,1,1
890,0.0,0.0,0.015126992566498259,0.0,0,0
173,0.0,0.0,0.015468569817999833,0.0,0,0
436,0.25,0.4,0.06709553154495196,0.0,1,0
488,0.0,0.0,0.015712553569072387,0.0,0,0
570,0.0,0.0,0.020494635090094415,0.5,0,1
759,0.0,0.0,0.16883675574220638,1.0,1,1
815,0.0,0.0,0.0,1.0,0,0
466,0.0,0.0,0.0,0.5,0,0
839,0.0,0.0,0.057970539254838485,1.0,0,1
758,0.0,0.0,0.015712553569072387,0.0,0,0
423,0.125,0.2,0.028106928123558056,0.0,1,0
872,0.0,0.0,0.009759350042902102,1.0,0,0
149,0.0,0.0,0.025374310111545468,0.5,0,0
516,0.0,0.0,0.020494635090094415,0.5,1,1
218,0.0,0.0,0.14891148113361488,1.0,1,1
854,0.125,0.0,0.050748620223090936,0.5,1,0
494,0.0,0.0,0.015712553569072387,0.0,0,0
464,0.0,0.0,0.015712553569072387,0.0,0,0
143,0.0,0.0,0.013175122557917838,0.0,0,0
126,0.0,0.0,0.015126992566498259,0.0,0,0
152,0.0,0.0,0.015712553569072387,0.0,0,0
238,0.0,0.0,0.020494635090094415,0.5,0,0
592,0.0,0.0,0.014151057562208049,0.0,0,0
535,0.0,0.4,0.05123658772523604,0.5,1,1
818,0.0,0.0,0.012589561555343713,0.0,0,0
247,0.0,0.4,0.028302115124416098,0.5,1,1
573,0.0,0.0,0.015126992566498259,0.0,1,1
108,0.0,0.0,0.015411575213749286,0.0,0,0
383,0.125,0.0,0.10149724044618187,1.0,1,1
337,0.0,0.0,0.2625265161540666,1.0,1,1
868,0.0,0.0,0.018542765081513996,0.0,0,0
604,0.0,0.0,0.051822148727810165,1.0,0,1
44,0.0,0.0,0.01537917417160685,0.0,1,1
601,0.0,0.0,0.015411575213749286,0.0,0,0
405,0.125,0.0,0.04098927018018883,0.5,0,0
712,0.125,0.0,0.10149724044618187,1.0,0,1
506,0.0,0.4,0.050748620223090936,0.5,1,1
324,1.0,0.4,0.13575255909676825,0.0,0,0
791,0.0,0.0,0.050748620223090936,0.5,0,0
168,0.0,0.0,0.050602229972447406,1.0,0,0
137,0.125,0.0,0.10364429745562033,1.0,0,0
422,0.0,0.0,0.015370976317570811,0.0,0,0
220,0.0,0.0,0.015712553569072387,0.0,0,1
225,0.0,0.0,0.018249984580226933,0.0,0,0
454,0.0,0.0,0.015712553569072387,0.0,0,0
519,0.0,0.0,0.015411575213749286,0.0,0,0
787,0.5,0.2,0.05684821399990475,0.0,0,0
627,0.0,0.0,0.15216446768991498,1.0,1,1
579,0.0,0.0,0.015468569817999833,0.0,0,1
355,0.0,0.0,0.018542765081513996,0.0,0,0
689,0.0,0.2,0.41250332793836464,1.0,1,1
136,0.0,0.4,0.051301584996521765,1.0,1,1
728,0.125,0.0,0.050748620223090936,0.5,0,0
761,0.0,0.0,0.013907073811135496,0.0,0,0
673,0.0,0.0,0.025374310111545468,0.5,0,1
812,0.0,0.0,0.020494635090094415,0.5,0,0
776,0.0,0.0,0.015126992566498259,0.0,0,0
807,0.0,0.0,0.015175789316712771,0.0,1,0
293,0.0,0.0,0.01727404957593672,0.0,1,0
842,0.0,0.0,0.060507970265993034,1.0,1,1
10,0.125,0.2,0.03259622914329302,0.0,1,1
855,0.0,0.2,0.018249984580226933,0.0,1,1
540,0.0,0.4,0.13858277060920987,1.0,1,1
251,0.125,0.2,0.02042143996477265,0.0,1,0
207,0.0,0.0,0.036670757786204655,0.0,0,1
393,0.125,0.0,0.22109807522194713,1.0,1,1
636,0.0,0.0,0.015468569817999833,0.0,0,0
69,0.25,0.0,0.016908073949327893,0.0,0,0
194,0.0,0.0,0.05410739813385612,1.0,1,1
649,0.0,0.0,0.014736618564782174,0.0,1,1
572,0.0,0.0,0.051504969851415845,1.0,0,1
840,0.0,0.0,0.015468569817999833,0.0,0,0
112,0.0,0.0,0.015712553569072387,0.0,0,0
325,0.0,0.0,0.2647385704347907,1.0,1,1
612,0.125,0.0,0.030253985132996517,0.0,1,1
312,0.125,0.2,0.050748620223090936,0.5,1,0
432,0.125,0.0,0.050748620223090936,0.5,1,1
502,0.0,0.0,0.014891206669461744,0.0,1,0
341,0.375,0.4,0.5133418122566507,1.0,1,1
611,0.0,0.0,0.013760683560491965,0.0,0,0
788,0.125,0.4,0.04015972542654215,0.0,0,1
507,0.0,0.0,0.051822148727810165,1.0,0,1
622,0.125,0.2,0.030725752114070404,0.0,0,1
441,0.0,0.0,0.018542765081513996,0.0,0,0
281,0.0,0.0,0.015330377421392339,0.0,0,0
407,0.125,0.2,0.03659756266088288,0.5,0,1
187,0.0,0.0,0.051822148727810165,1.0,0,1
442,0.125,0.0,0.015175789316712771,0.0,0,0
634,0.375,0.4,0.05445717323939373,0.0,1,0
705,0.0,0.0,0.050748620223090936,0.5,0,0
459,0.0,0.0,0.015126992566498259,0.0,0,0
92,0.125,0.0,0.11940564777490723,1.0,0,0
